"","id","period","PARENT","id_origin","pere","mere","sexe","anais","couple","dip6","nb_enf","situa","classif","pond","mer1e","per1e"
"1",1,2009,0,1,0,0,1,1976,1,3,2,1,0,2144.055226,2,3
"2",2,2009,0,2,0,0,2,1969,1,5,2,1,3,2144.055226,2,2
"3",3,2009,0,8,0,0,1,1961,1,6,2,1,1,778.559286,2,3
"4",4,2009,0,10,0,0,1,1985,3,2,0,1,4,778.559286,1,2
"5",5,2009,0,11,0,0,2,1990,3,1,0,3,0,778.559286,1,2
"6",6,2009,0,16,0,0,2,1949,1,5,4,6,0,1059.957324,2,2
"7",7,2009,0,21,0,0,2,1957,1,2,2,1,3,1553.365652,2,2
"8",8,2009,0,24,0,0,1,1955,3,6,1,1,4,901.722023,2,2
"9",9,2009,0,25,0,0,1,1947,1,1,4,5,0,2732.131611,2,3
"10",10,2009,0,27,0,0,2,1978,1,2,5,1,0,1378.970105,2,2
"11",11,2009,0,28,0,0,1,1977,1,2,0,1,4,1378.970105,2,2
"12",12,2009,0,29,0,0,1,1943,1,1,2,5,0,1295.542296,2,2
"13",13,2009,0,30,0,0,2,1944,1,2,1,5,0,1295.542296,2,3
"14",14,2009,0,34,0,0,2,1943,1,1,0,5,0,1164.285308,2,3
"15",15,2009,0,35,0,0,1,1955,1,6,2,1,0,904.461504,2,3
"16",16,2009,0,36,0,0,2,1955,1,6,0,1,3,904.461504,3,2
"17",17,2009,0,39,0,0,1,1966,1,2,1,1,0,1027.026266,2,2
"18",18,2009,0,41,0,0,2,1993,3,1,0,3,0,1027.026266,2,1
"19",19,2009,0,42,0,0,2,1987,3,6,0,3,3,1027.026266,1,2
"20",20,2009,0,43,0,0,1,1956,1,6,0,1,1,765.238435,2,2
"21",21,2009,0,45,0,0,1,1942,1,2,1,1,0,1181.810667,2,3
"22",22,2009,0,46,0,0,2,1958,1,4,0,1,4,1181.810667,2,3
"23",23,2009,0,54,0,0,2,1943,1,2,1,5,0,1123.377922,2,2
"24",24,2009,0,56,0,0,1,1960,1,4,2,1,0,2442.494521,2,2
"25",25,2009,0,61,0,0,2,1958,1,2,5,1,0,260.763922,3,2
"26",26,2009,0,63,0,0,1,1950,1,1,2,5,0,4269.598847,2,3
"27",27,2009,0,64,0,0,2,1951,1,2,2,1,3,4269.598847,2,3
"28",28,2009,0,65,0,0,2,1963,1,2,2,1,0,326.125527,2,2
"29",29,2009,0,66,0,0,1,1961,1,2,4,1,0,326.125527,3,2
"30",30,2009,0,69,0,0,1,1974,1,3,3,1,0,293.359852,2,2
